customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
17841,1.0,124,39534.92,1,1,1,111,Hibernating
17735,1.0,19,13110.02,1,1,1,111,Hibernating
14217,1.0,17,2004.98,1,1,2,112,Hibernating
15520,1.0,1,343.5,1,4,4,144,At Risk
13954,1.0,2,439.92,1,3,4,134,Others
18109,1.0,26,7954.27,1,1,1,111,Hibernating
16525,1.0,26,13027.45,1,1,1,111,Hibernating
16368,1.0,2,421.74,1,3,4,134,Others
13394,1.0,8,2520.02,1,1,1,111,Hibernating
14698,1.0,5,1185.17,1,2,2,122,Hibernating
14251,1.0,5,2879.7,1,2,1,121,Hibernating
12358,1.0,2,1168.06,1,3,2,132,Others
13769,1.0,10,2796.51,1,1,1,111,Hibernating
12437,1.0,18,4951.41,1,1,1,111,Hibernating
13767,1.0,37,17220.36,1,1,1,111,Hibernating
12615,1.0,4,2291.19,1,2,1,121,Hibernating
14129,1.0,5,1123.86,1,2,2,122,Hibernating
13534,1.0,25,5870.08,1,1,1,111,Hibernating
13436,1.0,1,196.89,1,5,5,155,At Risk
15525,1.0,3,692.96,1,2,3,123,Hibernating
13924,1.0,6,1838.85,1,1,2,112,Hibernating
13468,1.0,37,5704.97,1,1,1,111,Hibernating
17631,1.0,3,528.33,1,3,3,133,Others
14085,1.0,18,4397.03,1,1,1,111,Hibernating
17522,1.0,5,1058.91,1,2,2,122,Hibernating
17856,1.0,4,1418.03,1,2,2,122,Hibernating
14032,1.0,11,2975.59,1,1,1,111,Hibernating
17602,1.0,6,4869.72,1,1,1,111,Hibernating
16779,1.0,22,10605.12,1,1,1,111,Hibernating
16210,1.0,18,21086.3,1,1,1,111,Hibernating
14520,1.0,2,270.6,1,4,4,144,At Risk
15214,1.0,8,1661.44,1,1,2,112,Hibernating
14395,1.0,9,3397.55,1,1,1,111,Hibernating
13408,1.0,62,28117.04,1,1,1,111,Hibernating
17590,1.0,3,1429.98,1,3,2,132,Others
12583,2.0,15,7281.38,1,1,1,111,Hibernating
17705,2.0,9,1823.52,1,1,2,112,Hibernating
18237,2.0,5,987.1,1,2,2,122,Hibernating
15969,2.0,3,666.1,1,3,3,133,Others
17091,2.0,9,3827.76,1,1,1,111,Hibernating
16000,2.0,3,12393.7,1,3,1,131,Others
16569,2.0,1,124.2,1,4,5,145,At Risk
12417,2.0,9,3649.1,1,1,1,111,Hibernating
17049,2.0,9,5655.03,1,1,1,111,Hibernating
16817,2.0,9,1604.75,1,1,2,112,Hibernating
13323,2.0,5,787.85,1,2,3,123,Hibernating
17511,2.0,31,91062.38,1,1,1,111,Hibernating
17503,2.0,2,558.96,1,3,3,133,Others
15498,2.0,27,13316.4,1,1,1,111,Hibernating
13078,2.0,26,12627.94,1,1,1,111,Hibernating
14871,2.0,4,497.98,1,2,3,123,Hibernating
12720,2.0,25,5781.73,1,1,1,111,Hibernating
17883,2.0,4,621.71,1,2,3,123,Hibernating
14578,2.0,1,168.63,1,5,5,155,At Risk
14503,2.0,6,3543.26,1,1,1,111,Hibernating
12442,2.0,1,172.06,1,5,5,155,At Risk
18272,2.0,6,3078.58,1,1,1,111,Hibernating
13668,2.0,21,6294.63,1,1,1,111,Hibernating
16711,2.0,5,1651.03,1,2,2,122,Hibernating
17017,2.0,20,8694.26,1,1,1,111,Hibernating
14087,2.0,1,173.8,1,5,5,155,At Risk
13267,2.0,19,4521.49,1,1,1,111,Hibernating
16271,2.0,5,1379.89,1,2,2,122,Hibernating
13104,2.0,6,1098.48,1,1,2,112,Hibernating
13507,2.0,4,2479.16,1,2,1,121,Hibernating
14397,2.0,19,2612.96,1,1,1,111,Hibernating
14534,2.0,18,4271.82,1,1,1,111,Hibernating
16458,2.0,18,3482.74,1,1,1,111,Hibernating
16201,2.0,4,1863.47,1,2,2,122,Hibernating
17238,2.0,17,3558.73,1,1,1,111,Hibernating
14216,2.0,4,1839.3,1,2,2,122,Hibernating
15194,2.0,15,7616.53,1,1,1,111,Hibernating
17232,2.0,2,417.77,1,3,4,134,Others
16143,2.0,6,2424.94,1,1,1,111,Hibernating
13949,2.0,6,2427.32,1,1,1,111,Hibernating
18154,2.0,2,399.19,1,3,4,134,Others
14282,2.0,15,3701.44,1,1,1,111,Hibernating
12989,2.0,15,6924.11,1,1,1,111,Hibernating
16016,2.0,8,1419.71,1,1,2,112,Hibernating
16539,2.0,4,1388.81,1,2,2,122,Hibernating
12839,2.0,14,5576.52,1,1,1,111,Hibernating
15136,2.0,4,1286.7,1,2,2,122,Hibernating
14293,2.0,4,1046.56,1,2,2,122,Hibernating
12828,2.0,6,1018.71,1,1,2,112,Hibernating
14673,2.0,5,1736.4,1,2,2,122,Hibernating
16191,2.0,13,5180.52,1,1,1,111,Hibernating
13089,2.0,97,58682.28,1,1,1,111,Hibernating
12820,2.0,4,942.34,1,2,2,122,Hibernating
17730,2.0,13,5298.48,1,1,1,111,Hibernating
14141,2.0,4,915.13,1,2,3,123,Hibernating
15822,2.0,2,885.47,1,3,3,133,Others
14910,2.0,4,434.35,1,2,4,124,Hibernating
16678,2.0,12,3109.99,1,1,1,111,Hibernating
13743,2.0,7,1341.6,1,1,2,112,Hibernating
18225,2.0,12,5490.9,1,1,1,111,Hibernating
17119,2.0,2,606.91,1,3,3,133,Others
15568,2.0,3,758.29,1,2,3,123,Hibernating
16987,2.0,7,1571.85,1,1,2,112,Hibernating
15195,2.0,1,3861.0,1,5,1,151,At Risk
17412,2.0,7,1258.06,1,1,2,112,Hibernating
17835,2.0,3,342.24,1,2,4,124,Hibernating
14572,2.0,7,2702.38,1,1,1,111,Hibernating
13225,2.0,7,6463.84,1,1,1,111,Hibernating
14907,2.0,7,3501.1,1,1,1,111,Hibernating
12826,2.0,7,1474.72,1,1,2,112,Hibernating
14794,2.0,7,1319.91,1,1,2,112,Hibernating
13685,2.0,7,3119.44,1,1,1,111,Hibernating
15023,2.0,11,6673.23,1,1,1,111,Hibernating
12650,2.0,1,314.44,1,4,4,144,At Risk
14769,2.0,8,10213.13,1,1,1,111,Hibernating
12912,2.0,5,1662.3,1,2,2,122,Hibernating
16313,2.0,2,274.15,1,4,4,144,At Risk
16495,2.0,3,566.71,1,2,3,123,Hibernating
17861,2.0,8,2088.93,1,1,1,111,Hibernating
14527,2.0,55,8507.13,1,1,1,111,Hibernating
15750,2.0,8,2453.9,1,1,1,111,Hibernating
13882,2.0,5,1191.13,1,2,2,122,Hibernating
16076,2.0,10,2214.33,1,1,1,111,Hibernating
18219,2.0,10,2069.77,1,1,1,111,Hibernating
15984,2.0,10,2608.02,1,1,1,111,Hibernating
14868,2.0,8,2953.59,1,1,1,111,Hibernating
17042,2.0,5,1036.58,1,2,2,122,Hibernating
12362,2.0,10,5226.23,1,1,1,111,Hibernating
14708,2.0,3,1126.37,1,3,2,132,Others
16015,3.0,3,683.71,1,2,3,123,Hibernating
13230,3.0,14,2709.99,1,1,1,111,Hibernating
14629,3.0,2,948.05,1,3,2,132,Others
17290,3.0,2,509.02,1,3,3,133,Others
15621,3.0,4,1214.07,1,2,2,122,Hibernating
18005,3.0,2,222.72,1,4,5,145,At Risk
17481,3.0,4,1255.59,1,2,2,122,Hibernating
13305,3.0,10,2000.86,1,1,2,112,Hibernating
15640,3.0,15,12339.37,1,1,1,111,Hibernating
12683,3.0,15,8476.57,1,1,1,111,Hibernating
14739,3.0,7,3902.28,1,1,1,111,Hibernating
16133,3.0,33,14589.04,1,1,1,111,Hibernating
17666,3.0,2,728.16,1,3,3,133,Others
15854,3.0,12,2969.12,1,1,1,111,Hibernating
13311,3.0,2,598.57,1,3,3,133,Others
13985,3.0,15,7060.13,1,1,1,111,Hibernating
15274,3.0,2,716.57,1,3,3,133,Others
17346,3.0,15,2600.01,1,1,1,111,Hibernating
14418,3.0,3,1933.44,1,2,2,122,Hibernating
15157,3.0,3,1936.07,1,2,2,122,Hibernating
12478,3.0,1,680.99,1,5,3,153,At Risk
13790,3.0,1,348.8,1,4,4,144,At Risk
17404,3.0,15,31906.82,1,1,1,111,Hibernating
16949,3.0,6,1286.27,1,1,2,112,Hibernating
16200,3.0,2,1039.74,1,3,2,132,Others
12716,3.0,2,1053.49,1,3,2,132,Others
13083,3.0,2,303.75,1,4,4,144,At Risk
16979,3.0,6,1844.53,1,1,2,112,Hibernating
17090,3.0,7,1968.75,1,1,2,112,Hibernating
16904,3.0,16,3631.86,1,1,1,111,Hibernating
18283,3.0,16,1970.28,1,1,2,112,Hibernating
13021,3.0,9,2616.38,1,1,1,111,Hibernating
16968,3.0,2,439.43,1,3,4,134,Others
12971,3.0,86,11189.91,1,1,1,111,Hibernating
16592,3.0,16,4113.68,1,1,1,111,Hibernating
14608,3.0,4,1785.15,1,2,2,122,Hibernating
14113,3.0,4,1840.42,1,2,2,122,Hibernating
12628,3.0,3,786.46,1,2,3,123,Hibernating
17744,3.0,6,2322.4,1,1,1,111,Hibernating
14096,3.0,17,64990.31,1,1,1,111,Hibernating
17728,3.0,3,2876.01,1,2,1,121,Hibernating
15318,3.0,1,312.62,1,4,4,144,At Risk
13079,3.0,5,220.1,1,2,5,125,Hibernating
17706,3.0,17,10504.49,1,1,1,111,Hibernating
18198,3.0,17,5395.86,1,1,1,111,Hibernating
13755,3.0,9,2009.98,1,1,2,112,Hibernating
17218,3.0,10,1921.53,1,1,2,112,Hibernating
17914,3.0,1,316.06,1,4,4,144,At Risk
17920,3.0,17,3971.38,1,1,1,111,Hibernating
14071,3.0,8,1433.25,1,1,2,112,Hibernating
12723,3.0,5,725.07,1,2,3,123,Hibernating
17383,3.0,1,193.39,1,5,5,155,At Risk
17593,3.0,5,3878.07,1,2,1,121,Hibernating
14562,3.0,18,4950.37,1,1,1,111,Hibernating
16379,3.0,4,2157.4,1,2,1,121,Hibernating
13994,3.0,6,2249.49,1,1,1,111,Hibernating
14121,3.0,4,2780.15,1,2,1,121,Hibernating
14547,3.0,8,3929.97,1,1,1,111,Hibernating
16790,3.0,6,1545.62,1,1,2,112,Hibernating
13881,3.0,20,17159.52,1,1,1,111,Hibernating
15550,3.0,4,575.63,1,2,3,123,Hibernating
12994,3.0,3,974.42,1,2,2,122,Hibernating
17817,3.0,3,378.83,1,2,4,124,Hibernating
12367,3.0,1,168.9,1,5,5,155,At Risk
12749,3.0,5,4090.88,1,2,1,121,Hibernating
12584,3.0,9,2338.15,1,1,1,111,Hibernating
18015,3.0,1,120.03,1,4,5,145,At Risk
17857,3.0,23,26879.04,1,1,1,111,Hibernating
13694,3.0,50,65039.62,1,1,1,111,Hibernating
16353,3.0,23,6675.71,1,1,1,111,Hibernating
16600,3.0,6,813.52,1,1,3,113,Hibernating
15932,3.0,8,2495.87,1,1,1,111,Hibernating
15907,3.0,3,717.11,1,3,3,133,Others
15992,3.0,1,41.99,1,5,5,155,At Risk
15031,3.0,4,653.19,1,2,3,123,Hibernating
14737,3.0,3,1164.55,1,3,2,132,Others
15856,3.0,27,16006.95,1,1,1,111,Hibernating
17884,3.0,4,686.67,1,2,3,123,Hibernating
13709,3.0,13,6307.65,1,1,1,111,Hibernating
16528,3.0,1,244.41,1,5,5,155,At Risk
14696,3.0,7,2078.95,1,1,1,111,Hibernating
13001,3.0,13,9708.78,1,1,1,111,Hibernating
17811,3.0,39,7644.93,1,1,1,111,Hibernating
16013,3.0,47,36800.6,1,1,1,111,Hibernating
15690,3.0,2,239.76,1,4,5,145,At Risk
12766,3.0,7,6989.63,1,1,1,111,Hibernating
15061,3.0,48,54534.14,1,1,1,111,Hibernating
12877,3.0,12,1535.77,1,1,2,112,Hibernating
18044,3.0,10,2088.6,1,1,1,111,Hibernating
16684,3.0,28,66653.56,1,1,1,111,Hibernating
13199,3.0,38,9817.12,1,1,1,111,Hibernating
18030,3.0,2,230.65,1,4,5,145,At Risk
15097,3.0,1,248.08,1,4,4,144,At Risk
16929,3.0,7,1295.39,1,1,2,112,Hibernating
14219,3.0,1,89.94,1,4,5,145,At Risk
12682,3.0,31,12279.82,1,1,1,111,Hibernating
16620,3.0,2,178.96,1,4,5,145,At Risk
14401,3.0,13,4051.48,1,1,1,111,Hibernating
16764,3.0,13,2755.91,1,1,1,111,Hibernating
14825,3.0,12,2202.61,1,1,1,111,Hibernating
16597,3.0,1,90.04,1,4,5,145,At Risk
14083,3.0,9,1002.9,1,1,2,112,Hibernating
14110,3.0,12,5683.15,1,1,1,111,Hibernating
16910,3.0,8,1508.96,1,1,2,112,Hibernating
17250,3.0,2,381.32,1,3,4,134,Others
14140,3.0,2,935.05,1,3,2,132,Others
17676,3.0,6,1371.18,1,1,2,112,Hibernating
13173,3.0,2,353.65,1,4,4,144,At Risk
15145,3.0,4,1194.73,1,2,2,122,Hibernating
14735,3.0,32,6065.69,1,1,1,111,Hibernating
16851,3.0,3,342.45,1,2,4,124,Hibernating
12719,4.0,2,644.95,1,3,3,133,Others
14931,4.0,5,1257.68,1,2,2,122,Hibernating
17827,4.0,5,1965.36,1,2,2,122,Hibernating
12782,4.0,5,2330.92,1,2,1,121,Hibernating
16535,4.0,1,593.75,1,5,3,153,At Risk
17131,4.0,5,2295.72,1,2,1,121,Hibernating
16682,4.0,5,1028.0,1,2,2,122,Hibernating
13319,4.0,26,10845.55,1,1,1,111,Hibernating
12841,4.0,25,3982.83,1,1,1,111,Hibernating
15358,4.0,22,8347.2,1,1,1,111,Hibernating
16931,4.0,21,4527.13,1,1,1,111,Hibernating
14194,4.0,21,11349.52,1,1,1,111,Hibernating
14060,4.0,19,6140.42,1,1,1,111,Hibernating
16642,4.0,2,688.33,1,3,3,133,Others
15290,4.0,18,7943.22,1,1,1,111,Hibernating
16746,4.0,18,6673.91,1,1,1,111,Hibernating
12925,4.0,2,694.05,1,3,3,133,Others
16988,4.0,1,126.12,1,5,5,155,At Risk
13736,4.0,2,702.39,1,3,3,133,Others
15867,4.0,15,3810.14,1,1,1,111,Hibernating
12673,4.0,2,610.52,1,3,3,133,Others
18223,4.0,14,6484.54,1,1,1,111,Hibernating
17402,4.0,13,2633.85,1,1,1,111,Hibernating
16811,4.0,2,547.07,1,3,3,133,Others
17954,4.0,12,2297.63,1,1,1,111,Hibernating
16149,4.0,2,280.52,1,4,4,144,At Risk
12646,4.0,2,1346.97,1,3,2,132,Others
17254,4.0,2,271.19,1,4,4,144,At Risk
14658,4.0,2,247.15,1,4,4,144,At Risk
12490,4.0,10,5417.93,1,1,1,111,Hibernating
15033,4.0,10,2481.86,1,1,1,111,Hibernating
15628,4.0,9,2870.24,1,1,1,111,Hibernating
13704,4.0,9,2308.06,1,1,1,111,Hibernating
14456,4.0,9,2907.73,1,1,1,111,Hibernating
17750,4.0,9,1682.4,1,1,2,112,Hibernating
17579,4.0,3,444.3,1,3,4,134,Others
17936,4.0,1,351.92,1,4,4,144,At Risk
17173,4.0,8,3766.6,1,1,1,111,Hibernating
14075,4.0,3,942.26,1,2,2,122,Hibernating
13126,4.0,8,2099.64,1,1,1,111,Hibernating
13417,4.0,2,640.83,1,3,3,133,Others
12560,4.0,3,2134.01,1,2,1,121,Hibernating
13435,4.0,7,3790.09,1,1,1,111,Hibernating
16905,4.0,7,2813.87,1,1,1,111,Hibernating
15053,4.0,3,684.23,1,2,3,123,Hibernating
14759,4.0,3,1625.97,1,2,2,122,Hibernating
13630,4.0,7,2031.78,1,1,2,112,Hibernating
17006,4.0,4,781.78,1,2,3,123,Hibernating
15572,4.0,7,2498.95,1,1,1,111,Hibernating
16513,4.0,4,874.59,1,2,3,123,Hibernating
12724,4.0,4,1031.41,1,2,2,122,Hibernating
16500,4.0,6,400.86,1,1,4,114,Hibernating
17526,4.0,4,1195.9,1,2,2,122,Hibernating
14649,4.0,4,1363.95,1,2,2,122,Hibernating
15392,4.0,4,1535.53,1,2,2,122,Hibernating
18180,4.0,6,1843.75,1,1,2,112,Hibernating
16360,4.0,6,3258.9,1,1,1,111,Hibernating
16873,4.0,6,7123.62,1,2,1,121,Hibernating
13956,4.0,5,973.47,1,2,2,122,Hibernating
12381,4.0,5,1845.31,1,2,2,122,Hibernating
14102,4.0,5,1058.48,1,2,2,122,Hibernating
14546,4.0,5,2547.03,1,2,1,121,Hibernating
12913,4.0,5,2483.63,1,2,1,121,Hibernating
13153,5.0,1,486.22,1,5,3,153,At Risk
18065,5.0,14,2392.83,1,1,1,111,Hibernating
17114,5.0,8,793.66,1,1,3,113,Hibernating
14583,5.0,5,944.01,1,2,2,122,Hibernating
13558,5.0,4,592.43,1,2,3,123,Hibernating
14354,5.0,2,163.62,1,4,5,145,At Risk
13596,5.0,2,648.98,1,3,3,133,Others
14720,5.0,3,663.81,1,3,3,133,Others
13822,5.0,2,628.7,1,3,3,133,Others
16561,5.0,2,511.12,1,3,3,133,Others
16033,5.0,20,8733.68,1,1,1,111,Hibernating
16326,5.0,14,2900.0,1,1,1,111,Hibernating
12952,5.0,4,1387.79,1,2,2,122,Hibernating
15773,5.0,1,635.68,1,5,3,153,At Risk
13808,5.0,5,1747.66,1,2,2,122,Hibernating
16438,5.0,5,795.85,1,2,3,123,Hibernating
13838,5.0,4,651.08,1,2,3,123,Hibernating
17618,5.0,3,926.03,1,2,2,122,Hibernating
17858,5.0,12,5116.66,1,1,1,111,Hibernating
17629,5.0,8,1814.12,1,1,2,112,Hibernating
16283,5.0,5,1536.91,1,2,2,122,Hibernating
12827,5.0,3,430.15,1,2,4,124,Hibernating
16989,6.0,6,1133.25,1,1,2,112,Hibernating
14023,6.0,2,584.07,1,3,3,133,Others
18245,6.0,7,2567.06,1,1,1,111,Hibernating
17567,6.0,8,4331.48,1,1,1,111,Hibernating
15769,6.0,26,56252.72,1,1,1,111,Hibernating
15271,6.0,15,2407.36,1,1,1,111,Hibernating
12695,6.0,4,582.1,1,2,3,123,Hibernating
15570,6.0,12,4023.77,1,1,1,111,Hibernating
13560,6.0,1,171.42,1,5,5,155,At Risk
14560,6.0,22,2237.77,1,1,1,111,Hibernating
13953,6.0,7,3515.68,1,1,1,111,Hibernating
17221,6.0,2,334.48,1,4,4,144,At Risk
16103,6.0,6,1429.64,1,1,2,112,Hibernating
14250,6.0,3,1904.05,1,2,2,122,Hibernating
17611,6.0,15,3947.32,1,1,1,111,Hibernating
13458,6.0,14,9646.57,1,1,1,111,Hibernating
14865,6.0,2,52.2,1,4,5,145,At Risk
13868,6.0,2,3192.54,1,3,1,131,Others
14493,6.0,5,2383.24,1,2,1,121,Hibernating
13309,6.0,5,1456.79,1,2,2,122,Hibernating
13017,6.0,1,204.0,1,5,5,155,At Risk
18174,6.0,1,104.0,1,4,5,145,At Risk
17686,6.0,7,5739.46,1,1,1,111,Hibernating
17584,6.0,2,1242.3,1,3,2,132,Others
15123,6.0,2,2199.31,1,3,1,131,Others
16359,6.0,9,1750.92,1,1,2,112,Hibernating
14788,6.0,2,679.44,1,3,3,133,Others
16474,6.0,7,1706.94,1,1,2,112,Hibernating
14428,6.0,5,1207.21,1,2,2,122,Hibernating
15078,6.0,32,9743.11,1,1,1,111,Hibernating
14031,6.0,19,17286.86,1,1,1,111,Hibernating
15539,6.0,1,538.46,1,5,3,153,At Risk
12962,6.0,2,266.39,1,4,4,144,At Risk
13884,6.0,5,786.15,1,2,3,123,Hibernating
12704,6.0,8,2340.84,1,1,1,111,Hibernating
12970,6.0,4,376.73,1,2,4,124,Hibernating
15547,6.0,14,4838.18,1,1,1,111,Hibernating
17086,6.0,6,2050.08,1,1,1,111,Hibernating
18055,6.0,10,6700.34,1,1,1,111,Hibernating
13780,6.0,2,360.01,1,3,4,134,Others
14594,6.0,2,356.75,1,3,4,134,Others
13969,6.0,18,8976.37,1,1,1,111,Hibernating
12562,7.0,7,3781.74,1,1,1,111,Hibernating
14367,7.0,16,9208.02,1,1,1,111,Hibernating
16011,7.0,16,3342.96,1,1,1,111,Hibernating
13183,7.0,9,3957.78,1,1,1,111,Hibernating
